Date,USD/TWD close
9-Jun-16,32.239
10-Jun-16,32.287
13-Jun-16,32.402
14-Jun-16,32.421
15-Jun-16,32.369
16-Jun-16,32.365
17-Jun-16,32.341
20-Jun-16,32.245
21-Jun-16,32.163
22-Jun-16,32.122
23-Jun-16,31.917
24-Jun-16,32.47
27-Jun-16,32.554
28-Jun-16,32.379
29-Jun-16,32.254
30-Jun-16,32.217
1-Jul-16,32.229
4-Jul-16,32.207
5-Jul-16,32.349
6-Jul-16,32.372
7-Jul-16,32.353
8-Jul-16,32.257
11-Jul-16,32.198
12-Jul-16,32.122
13-Jul-16,32.183
14-Jul-16,31.998
15-Jul-16,31.905
18-Jul-16,31.935
19-Jul-16,32.022
20-Jul-16,32.062
21-Jul-16,32.03
22-Jul-16,31.997
25-Jul-16,32.192
26-Jul-16,32.102
27-Jul-16,32.014
28-Jul-16,31.977
29-Jul-16,31.823
1-Aug-16,31.544
2-Aug-16,31.648
3-Aug-16,31.684
4-Aug-16,31.68
5-Aug-16,31.563
8-Aug-16,31.425
9-Aug-16,31.36
10-Aug-16,31.056
11-Aug-16,31.315
12-Aug-16,31.424
15-Aug-16,31.327
16-Aug-16,31.297
17-Aug-16,31.413
18-Aug-16,31.419
19-Aug-16,31.617
22-Aug-16,31.801
23-Aug-16,31.827
24-Aug-16,31.762
25-Aug-16,31.666
26-Aug-16,31.761
29-Aug-16,31.689
30-Aug-16,31.747
31-Aug-16,31.737
1-Sep-16,31.71
2-Sep-16,31.635
5-Sep-16,31.401
6-Sep-16,31.153
7-Sep-16,31.245
8-Sep-16,31.319
9-Sep-16,31.642
12-Sep-16,31.655
13-Sep-16,31.848
14-Sep-16,31.693
15-Sep-16,31.638
16-Sep-16,31.695
19-Sep-16,31.423
20-Sep-16,31.329
21-Sep-16,31.153
22-Sep-16,31.33
23-Sep-16,31.326
26-Sep-16,31.443
27-Sep-16,31.405
28-Sep-16,31.377
29-Sep-16,31.421
30-Sep-16,31.325
3-Oct-16,31.337
4-Oct-16,31.474
5-Oct-16,31.453
6-Oct-16,31.473
7-Oct-16,31.453
10-Oct-16,31.456
11-Oct-16,31.575
12-Oct-16,31.626
13-Oct-16,31.73
14-Oct-16,31.709
17-Oct-16,31.787
18-Oct-16,31.537
19-Oct-16,31.466
20-Oct-16,31.588
21-Oct-16,31.76
24-Oct-16,31.683
25-Oct-16,31.507
26-Oct-16,31.543
27-Oct-16,31.739
28-Oct-16,31.632
31-Oct-16,31.52
1-Nov-16,31.562
2-Nov-16,31.495
3-Nov-16,31.492
4-Nov-16,31.473
7-Nov-16,31.48
8-Nov-16,31.303
9-Nov-16,31.636
10-Nov-16,31.716
11-Nov-16,31.926
14-Nov-16,32.028
15-Nov-16,31.849
16-Nov-16,31.815
17-Nov-16,31.959
18-Nov-16,32.043
21-Nov-16,31.985
22-Nov-16,31.779
23-Nov-16,31.921
24-Nov-16,31.919
25-Nov-16,31.846
28-Nov-16,31.795
29-Nov-16,31.812
30-Nov-16,31.898
1-Dec-16,31.89
2-Dec-16,31.867
5-Dec-16,32.035
6-Dec-16,31.942
7-Dec-16,31.719
8-Dec-16,31.733
9-Dec-16,31.8
12-Dec-16,31.805
13-Dec-16,31.764
14-Dec-16,31.922
15-Dec-16,31.92
16-Dec-16,32.026
19-Dec-16,31.98
20-Dec-16,32.04
21-Dec-16,32.03
22-Dec-16,32.169
23-Dec-16,32.175
26-Dec-16,32.221
27-Dec-16,32.281
28-Dec-16,32.425
29-Dec-16,32.295
30-Dec-16,32.454
2-Jan-17,32.365
3-Jan-17,32.305
4-Jan-17,32.225
5-Jan-17,31.804
6-Jan-17,32.01
9-Jan-17,32.098
10-Jan-17,31.944
11-Jan-17,31.746
12-Jan-17,31.601
13-Jan-17,31.57
16-Jan-17,31.705
17-Jan-17,31.405
18-Jan-17,31.705
19-Jan-17,31.58
20-Jan-17,31.515
23-Jan-17,31.316
24-Jan-17,31.389
25-Jan-17,31.287
26-Jan-17,31.49
27-Jan-17,31.555
30-Jan-17,31.36
31-Jan-17,31.167
1-Feb-17,31.279
2-Feb-17,31.095
3-Feb-17,30.826
6-Feb-17,30.87
7-Feb-17,31.043
8-Feb-17,31.1
9-Feb-17,31.045
10-Feb-17,30.969
13-Feb-17,30.96
14-Feb-17,30.77
15-Feb-17,30.761
16-Feb-17,30.794
17-Feb-17,30.896
20-Feb-17,30.799
21-Feb-17,30.793
22-Feb-17,30.782
23-Feb-17,30.75
24-Feb-17,30.655
27-Feb-17,30.656
28-Feb-17,30.656
1-Mar-17,30.771
2-Mar-17,30.913
3-Mar-17,30.921
6-Mar-17,30.98
7-Mar-17,30.885
8-Mar-17,30.925
9-Mar-17,31.023
10-Mar-17,31.075
13-Mar-17,30.933
14-Mar-17,30.963
15-Mar-17,30.501
16-Mar-17,30.504
17-Mar-17,30.533
20-Mar-17,30.383
21-Mar-17,30.511
22-Mar-17,30.495
23-Mar-17,30.477
24-Mar-17,30.369
27-Mar-17,30.245
28-Mar-17,30.264
29-Mar-17,30.177
30-Mar-17,30.313
31-Mar-17,30.33
3-Apr-17,30.386
4-Apr-17,30.477
5-Apr-17,30.39
6-Apr-17,30.554
7-Apr-17,30.607
10-Apr-17,30.645
11-Apr-17,30.647
12-Apr-17,30.395
13-Apr-17,30.32
14-Apr-17,30.388
17-Apr-17,30.345
18-Apr-17,30.401
19-Apr-17,30.415
20-Apr-17,30.404
21-Apr-17,30.37
24-Apr-17,30.267
25-Apr-17,30.141
26-Apr-17,30.125
27-Apr-17,30.163
28-Apr-17,30.187
1-May-17,30.21
2-May-17,30.052
3-May-17,30.053
4-May-17,30.133
5-May-17,30.2
8-May-17,30.164
9-May-17,30.247
10-May-17,30.258
11-May-17,30.12
12-May-17,30.191
15-May-17,30.046
16-May-17,30.106
17-May-17,30.134
18-May-17,30.215
19-May-17,30.006
22-May-17,29.98
23-May-17,30.151
24-May-17,30.172
25-May-17,30.076
26-May-17,30.111
29-May-17,30.198
30-May-17,30.179
31-May-17,30.096
1-Jun-17,30.107
2-Jun-17,30.115
5-Jun-17,30.075
6-Jun-17,30.088
7-Jun-17,30.172
8-Jun-17,30.102
9-Jun-17,30.102
12-Jun-17,30.172
13-Jun-17,30.219
14-Jun-17,30.171
15-Jun-17,30.27
16-Jun-17,30.363
19-Jun-17,30.358
20-Jun-17,30.461
21-Jun-17,30.459
22-Jun-17,30.442
23-Jun-17,30.385
26-Jun-17,30.328
27-Jun-17,30.387
28-Jun-17,30.43
29-Jun-17,30.394
30-Jun-17,30.433
3-Jul-17,30.535
4-Jul-17,30.523
5-Jul-17,30.498
6-Jul-17,30.593
7-Jul-17,30.548
10-Jul-17,30.529
11-Jul-17,30.553
12-Jul-17,30.346
13-Jul-17,30.377
14-Jul-17,30.272
17-Jul-17,30.414
18-Jul-17,30.364
19-Jul-17,30.39
20-Jul-17,30.454
21-Jul-17,30.447
24-Jul-17,30.349
25-Jul-17,30.351
26-Jul-17,30.233
27-Jul-17,30.247
28-Jul-17,30.294
31-Jul-17,30.215
1-Aug-17,30.252
2-Aug-17,30.244
